id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,daging_ayam,tahun,daging_babi,daging_domba,daging_kelinci,daging_sapi,kubis
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,19709,2021,0,1683,0,4364539,0.0
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,18655,2021,0,1866,0,2373233,7325.0
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11948,2021,0,651,0,0,4623.0
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,31824,2021,0,367,0,2153412,14.0
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,45374,2021,0,1683,0,1126958,257.0
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,52599,2021,0,15777,0,1355507,266.0
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,71936,2021,31,120,0,2601667,0.0
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,6722,2021,13,513,0,1695372,0.0
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11640,2021,0,1849,1,5488867,2936.0
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1983,2021,0,46,0,732307,0.0
235,32,JAWA BARAT,3271,KOTA BOGOR,1071,2021,0,92,0,40499974,0.0
236,32,JAWA BARAT,3272,KOTA SUKABUMI,13775,2021,0,282,0,1341382,0.0
237,32,JAWA BARAT,3273,KOTA BANDUNG,856,2021,510,355,0,0,14.0
238,32,JAWA BARAT,3274,KOTA CIREBON,5,2021,84,39,0,295737,0.0
239,32,JAWA BARAT,3275,KOTA BEKASI,1998,2021,5,791,0,2475331,0.0
240,32,JAWA BARAT,3276,KOTA DEPOK,2447,2021,0,140,0,6209286,0.0
241,32,JAWA BARAT,3277,KOTA CIMAHI,226,2021,0,215,0,1285900,0.0
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6673,2021,0,8,0,3654929,0.0
243,32,JAWA BARAT,3279,KOTA BANJAR,3493,2021,0,10,0,718785,0.0
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,179364,2022,0,525,0,7357209,
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,44121,2022,0,1616,9,1987454,
